Reporting period,ORGANIZATION,DONOR,CLUSTER,ACTIVITY DESCRIPTION,IMPLEMENTING PARTNER,REGION,DISTRICT                           ,SPECIFIC LOCATION ,RURAL/URBAN         ,STATUS             ,DURATION,START DATE (DD/MM/YY),END DATE (DD/MM/YY),Y_COORD,X_COORD
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Mudug,Gaalkacyo,Israac,,Ongoing ,,18/04/2018,17/04/2018,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Middle Shabelle,Balcad,Balad,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Middle Shabelle,Balcad,Warsheikh,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Hawl Wadaag,Howlwadag,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Yaaqshid,Yaqshid,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Karaan,Karan,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Bondhere,Bondere,,Ongoing ,,18/04/2017,17/04/2018,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Cabdulasiis,Abdiaziz,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Yaaqshid,Yaqshid,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Yaaqshid,Yaqshid,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Hodan,Hodan,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Waaberi,Waberi,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Hodan,hodan,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Hodan,Hodan,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Hodan,Hodan,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Dayniile,Daynile,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Banadir ,Dayniile,Daynile,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Lower Shabelle,Afgooye,Afgoye,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Lower Shabelle,Qoryooley,Qoryoley,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Lower Shabelle,Qoryooley,Qoryoley,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Lower Shabelle,Marka,Marka,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Lower Shabelle,Wanla Weyn,Wanla weyn,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Lower Shabelle,Marka,marka,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Lower Shabelle,Afgooye,Afgoye,,Ongoing ,,18/04/2017,17/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Bay,Baidoa,,,Ongoing ,,18/04/2017,18/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Bakool,Rab Dhuure,,,Ongoing ,,18/04/2017,18/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Bakool,Ceel Barde,,,Ongoing ,,18/04/2017,18/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,Awareness raising and campaigning,DRC,Bay,Baidoa,,,Ongoing ,,18/04/2017,18/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Gedo,Baardheere,,,Ongoing ,,18/04/2017,18/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Gedo,Garbahaarey,,,Ongoing ,,18/04/2017,18/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Gedo,Ceel Waaq,,,Ongoing ,,18/04/2017,18/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Gedo,Belet Xaawo,Belet Xaawo,,Ongoing ,,18/04/2017,18/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,Awareness raising and campaigning,DRC,Gedo,Belet Xaawo,Belet Xaawo,,Ongoing ,,18/04/2017,18/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Middle Juba,Jilib,,,Ongoing ,,18/04/2017,18/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Provision of immediate support (Medical, PSS and transport) to children affected by the armed conflict",DRC,Middle Juba,Saakow,,,Ongoing ,,18/04/2017,18/04/2019,,
Quarter III,DRC,SHF,Protection,Child friendly spaces and psychosocial support,DRC,Bay,Baidoa,,,Ongoing ,,01/05/2018,30/04/2019,,
Quarter III,DRC,SHF,Protection,10 survivors  including 2 GBV survivors supported  PSS and and referred to other service available ,DRC,Bay,Baidoa,,,Ongoing ,,01/05/2018,30/04/2019,,
Quarter III,SCI,SCI/Finland,Protection,HAVOYOCO implemented in child sensitive social protection project.,HAVYC,Woqooyi Galbeed,Hargeysa,"M.Mooge, Sh. Omer and  Sancaani",,Ongoing ,,01/01/2017,31/12/2021,,
Quarter III,UNICEF,UNICEF,Protection,Registered UASC ,INTERSOS,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2018,28/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,Registered SC ,INTERSOS,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2018,28/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,Clan tracing in progress,INTERSOS,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2018,28/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,UAC Successful reunification after verification,INTERSOS,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2018,28/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,SC Successful reunification after verification,INTERSOS,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2018,28/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,"Children invovled in PSS including play, cultural and artistic activities ",INTERSOS,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2018,28/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,Care givers involved in PSS,INTERSOS,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2018,28/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,Follow up after graduation / apprentice and job market mentorship ,INTERSOS,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2018,28/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,Supported at the Interim Care Center ,INTERSOS,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2018,28/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,Reincerted back into the Community from the ICC,INTERSOS,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2018,28/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,Engaged in prevention and recreational activities from formal education including PSS ,INTERSOS,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2018,28/02/2019,,
Quarter III,UNICEF,UNICEF,Protection,CMR training including care for child survivors ,INTERSOS,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2018,28/02/2019,,
Quarter III,Unspecified,Unspecified,Protection,child protection training,WVI,Gedo,Doolow,Doolow,,Completed,,14/01/2019,15/01/2019,,
Quarter III,Unspecified,Unspecified,Protection,child protection training for Animators,WVI,Bay,Baidoa,Baidoa/Horseed/Laanta 2Aa,,Completed,,09/01/2019,09/01/2019,,
Quarter III,Unspecified,Unspecified,Protection,Support to 10 CFS within Baidoa,WVI,Bay,Baidoa,Baidoa/Horseed/Laanta 2Aa,,Ongoing ,,30/03/2018,30/03/2019,,
Quarter III,Unspecified,Unspecified,Protection,Child protection mainstreaming,WVI,Gedo,Doolow,Doolow,,Completed,,29/12/2018,30/12/2018,,
Quarter III,Unspecified,Unspecified,Protection,awareness raising in school on child protection and child rights. ,WVI,Bay,Baidoa,Baidoa,,Completed,,02/12/2018,02/12/2018,,
Quarter III,Unspecified,Unspecified,Protection,conducted campaign on FG and GBV ,WVI,Gedo,Doolow,Doolow,,Completed,,28/11/2018,29/11/2018,,
Quarter III,Unspecified,Unspecified,Protection,Establishment of child protection committees,WVI,Gedo,Doolow,Doolow,,Completed,,13/12/2018,13/12/2018,,
Quarter III,Unspecified,Unspecified,Protection,GBV and referral network training ,WVI,Gedo,Doolow,Doolow,,Completed,,03/12/2018,05/12/2018,,
Quarter III,Unspecified,Unspecified,Protection,trained 6 hygeine promotors on CP,WVI,Gedo,Doolow,Camp 1,,Completed,,27/11/2018,27/11/2018,,
Quarter III,Unspecified,Unspecified,Protection,Support to 10 CFS within Baidoa,WVI,Bay,Baidoa,Baidoa/Horseed/Laanta 2Aa,,Ongoing ,,01/11/2018,25/11/2018,,
Quarter III,Unspecified,Unspecified,Protection,1 case of forced and early marriage was managed by WV,WVI,Bay,Baidoa,,,Completed,,08/11/2018,,,
Quarter III,Unspecified,Unspecified,Protection,child protection training for partners,WVI,Bay,Baidoa,,,Completed,,15/11/2018,15/11/2018,,
Quarter III,Unspecified,Unspecified,Protection,Comemoration of Day of the girl child,WVI,Bay,Baidoa,Baidoa/Horseed/Laanta 1Aa,,Completed,,11/10/2018,11/10/2018,,
Quarter III,Unspecified,Unspecified,Protection,Support to 10 CFS within Baidoa,WVI,Bay,Baidoa,Baidoa/Horseed/Laanta 2Aa,,Ongoing ,,01/10/2018,25/10/2018,,
Quarter III,Unspecified,Unspecified,Protection,supported Mother to mother support groups on CP campagn against FGM and child marriage ,WVI,Bay,Baidoa,11 Janayo IDP,,Completed,,02/10/2018,19/10/2018,,
Quarter III,Unspecified,Unspecified,Protection,Child rights to health especially mental health ,WVI,Bay,Baidoa,11 Janayo IDP,,Completed,,03/10/2018,15/10/2018,,
Quarter III,Unspecified,Unspecified,Protection,1 Fistula case managed with diginity kits and psychosocial services by WV health team ,WVI,Bay,Baidoa,11 Janayo IDP,,Completed,,11/10/2018,13/10/2018,,
Quarter III,Unspecified,Unspecified,Protection,Two staff attended GBV training by UNHCR in Baidoa,WVI,Bay,Baidoa,11 Janayo IDP,,Completed,,13/10/2018,14/10/2018,,
Quarter III,Unspecified,Unspecified,Protection,60 children facilitated to get treatment for mental health at Baidoa mental Hospital,WVI,Bay,Baidoa,11 Janayo IDP,,Ongoing ,,01/10/2018,25/10/2018,,
Quarter III,Unspecified,Unspecified,Protection,2 Planning meetings for commemoration of 16days of Activism with Ministry of Women and human rights ,WVI,Bay,Baidoa,11 Janayo IDP,,Ongoing ,,07/10/2018,08/10/2018,,
Quarter III,UNICEF,UNICEF,Protection,20(9 boys & 11 girls) Separated children and 5(4 boys & 1 girls) unaccompannied children,HIfWA,Hiraan,Belet Weyne,Tawakal,,Ongoing ,,01/06/2018,30/05/2019,,
Quarter III,UNICEF,UNICEF,Protection,4 ( 1 boy & 3 girls) Separated children and 3( 2 boys  & 1 girl) unaccompannied children,HIfWA,Hiraan,Bulo Burto,Gal Madobe,,Ongoing ,,01/06/2018,30/05/2019,,
Quarter III,UNICEF,UNICEF,Protection,Provision of psychosocial activities for children in child friendly spaces/other safe spaces,HIfWA,Hiraan,Belet Weyne,Belet Weyne,,Ongoing ,,01/06/2018,30/05/2019,,
Quarter III,UNICEF,UNICEF,Protection,Provision of psychosocial activities for children in child friendly spaces/other safe spaces,HIfWA,Hiraan,Bulo Burto,Jamco Mubarak Bari,,Ongoing ,,01/06/2018,30/05/2019,,
Quarter III,UNICEF,UNICEF,Protection,Placement of UASC in alternative care arrangements and/or who benefited from individual follow-up,HIfWA,Hiraan,Belet Weyne,Tawakal,,Ongoing ,,01/06/2018,30/05/2019,,
Quarter III,UNICEF,UNICEF,Protection,Placement of UASC in alternative care arrangements and/or who benefited from individual follow-up,HIfWA,Hiraan,Bulo Burto,Saagal-Geed,,Ongoing ,,01/06/2018,30/05/2019,,
Quarter III,UNICEF,UNICEF,Protection,12(8  boys & 4 girls) sepatated children were reunified while 4 girls unaccompanied  children were reunified. ,HIfWA,Hiraan,Belet Weyne,Belet Weyne,,Ongoing ,,01/06/2018,30/05/2019,,
Quarter III,UNICEF,UNICEF,Protection,2 (1 boy and  1 girl)  sepatated children were reunified while 1 (1 boy ) unaccompanied children were reunified.,HIfWA,Hiraan,Bulo Burto,Gal Madobe,,Ongoing ,,01/06/2018,30/05/2019,,
Quarter III,UNICEF,UNICEF,Protection,Awareness raising and campaigning,HIfWA,Hiraan,Belet Weyne,Belet Weyne,,Ongoing ,,01/06/2018,30/05/2019,,
Quarter III,UNICEF,UNICEF,Protection,# of community discussions and community action plans conducted,HIfWA,Hiraan,Belet Weyne,Belet Weyne,,Ongoing ,,01/06/2018,30/05/2019,,
Quarter III,WVI,EU,Protection,Child protection in Emergency training ,WVI,Togdheer,Burco,Burao,,Ongoing ,,01/03/2017,28/02/2020,,
Quarter III,WVI,EU,Protection,Protection referral and awareness training,WVI,Togdheer,Burco,Burao,,Ongoing ,,01/03/2017,28/02/2020,,
Quarter III,WVI,EU,Protection,Clinical Management of Rape refresher training for health workers ,WVI,Togdheer,Burco,Burao,,Ongoing ,,01/03/2017,28/02/2020,,
